Country,Region,Happiness Rank,Ladder score,Economy,Social support,Health,Freedom,Trust,Generosity,Dystopia Residual,Year,Emoji,Latitude,Longitude,Population,Percent_Population_aged_0_14,Percent_Population_aged_10_19,Percent_Population_aged_10_24,Percent_Population_aged_15_64,Percent_Population_aged_65_and_older,LifeExpectancy_male,LifeExpectancy_female
Montenegro,Central and Eastern Europe,76,5.707,1.571,1.318,0.587,0.632,0.132,0.11,1.357,2024,😑,-29.6826112,-51.4687455,0.6,18.0,12.0,18.0,65.0,17.0,75.0,81.0
Mongolia,East Asia,77,5.696,1.353,1.511,0.4,0.501,0.055,0.237,1.64,2024,😑,43.9382593,-79.2235563,3.5,32.0,18.0,25.0,63.0,5.0,69.0,78.0
Colombia,Latin America and Caribbean,78,5.695,1.437,1.241,0.648,0.644,0.059,0.072,1.596,2024,😑,4.099917,-72.9088133,52.3,21.0,14.0,22.0,69.0,10.0,75.0,81.0
Venezuela,Latin America and Caribbean,79,5.607,0.0,1.321,0.491,0.518,0.086,0.192,2.998,2024,😑,8.0018709,-66.1109318,29.4,26.0,19.0,28.0,65.0,9.0,69.0,77.0
Indonesia,Southeast Asia,80,5.568,1.361,1.184,0.472,0.779,0.055,0.399,1.318,2024,😑,-2.4833826,117.8902853,279.8,25.0,17.0,25.0,68.0,7.0,69.0,73.0
Bulgaria,Central and Eastern Europe,81,5.463,1.629,1.469,0.567,0.62,0.006,0.083,1.088,2024,😑,42.6073975,25.4856617,6.6,14.0,10.0,15.0,64.0,22.0,73.0,79.0
Armenia,Commonwealth of Independent States,82,5.455,1.444,1.154,0.603,0.65,0.173,0.051,1.379,2024,😑,4.536307,-75.6723751,2.8,20.0,13.0,19.0,65.0,14.0,71.0,80.0
South Africa,Sub-Saharan Africa,82,5.422,1.389,1.369,0.322,0.537,0.034,0.078,1.693,2024,😑,-28.8166236,24.991639,61.0,28.0,18.0,25.0,66.0,6.0,64.0,70.0
Macedonia,Central and Eastern Europe,84,5.369,1.475,1.277,0.569,0.58,0.015,0.194,1.26,2024,😑,41.1927739,-95.4256198,2.1,16.0,11.0,17.0,69.0,16.0,76.0,80.0
Algeria,Middle East and North Africa,85,5.364,1.324,1.191,0.568,0.247,0.2,0.091,1.743,2024,😑,28.0000272,2.9999825,46.3,30.0,17.0,24.0,63.0,7.0,76.0,79.0
